"","idnum","m4a4","m5a4","kind_a5","kind_a6","kind_a7","scoreKind","t5c13a","t5c13b","t5c13c","score","X","f1g9a","f1g9b","f1g9c","f1g9d","f1g9e","f1g9f","f1g9g","f1g9h","f1g9i","f1g9j","f1g9k","f1g9l","m2b18a","m2b18b","m2b18c","m2b18d","m2b18e","m2b18f","m2b18g","m2b18h","m2c3a","m3b4a","m3b4b","m3b4c","m3b4d","m3b4e","m3b4f","m3b4g","m3b4h","m3b4i","m3b4j","m3b4k","m3b4l","m3b4m","m3c3a","m3c3b","m3c3c","m3c3d","m3c3e","m3c3f","m3c3g","m3c3h","m3c3i","m3c3j","m3c3k","m3c3l","m3c3m","f3c3a","f3c3b","f3c3c","f3c3d","f3c3e","f3c3f","f3c3g","f3c3h","f3c3i","f3c3j","f3c3k","f3c3l","f3c3m","f3b4a","f3b4b","f3b4c","f3b4d","f3b4e","f3b4f","f3b4g","f3b4h","f3b4i","f3b4j","f3b4k","f3b4l","f3b4m","m4c3a","m4c3b","m4c3c","m4c3d","m4c3e","m4c3f","m4c3g","m4c3h","f4b4a1","f4b4a2","f4b4a3","f4b4a4","f4b4a5","f4b4a6","f4b4a7","f4b4a8","f4c3a","f4c3b","f4c3c","f4c3d","f4c3e","f4c3f","f4c3g","f4c3h","f2b36a","f2b36b","f2b36c","f2b36d","f2b36e","f2b36f","f2b36g","f2b36h","f2c3a","f2c3b","f2c3c","f2c3d","f2c3e","f2c3f","f2c3g","f2c3h","f2c3i","f2c3j","m2c3b","m2c3c","m2c3d","m2c3e","m2c3f","m2c3g","m2c3h","m2c3i","m2c3j","tally","tally2"
"3560",3561,5,6,NA,NA,NA,NA,-9,-9,-9,-27,3561,2,0,0,0,0,5,2,3,0,0,0,3,4,7,0,0,7,0,7,7,2,2,7,7,0,3,2,7,5,7,0,3,7,7,2,7,7,0,2,1,1,3,4,0,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,7,7,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,4,0,7,7,0,0,0
"3561",3562,1,1,NA,NA,NA,NA,-9,-9,-9,-27,3562,2,1,0,4,0,1,0,2,1,0,0,1,7,7,7,5,7,0,7,7,4,7,7,7,4,6,7,5,5,6,0,1,1,7,5,7,5,3,4,5,2,4,4,0,1,1,5,7,7,7,5,7,6,1,7,7,0,0,7,6,3,7,7,2,7,2,1,3,4,0,1,2,1,4,6,3,2,4,2,2,2,4,4,2,3,6,2,3,5,5,5,4,6,7,6,3,6,4,2,2,0,3,0,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,4,0,6,2,7,7,0,0
"3562",3563,1,1,4,3,3,10,4,4,4,12,3563,2,0,0,3,0,1,0,1,0,0,0,3,7,6,7,0,7,2,7,6,7,4,7,7,7,7,7,1,7,7,1,1,7,4,1,7,7,4,7,7,1,7,7,1,1,3,3,7,7,7,7,7,7,3,7,7,0,2,7,7,7,7,7,6,7,7,2,7,2,0,1,4,3,1,7,2,4,7,4,2,1,5,7,7,7,6,5,2,1,7,7,7,7,7,6,2,1,6,5,7,2,7,0,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,0,7,2,1,1,7,1,0,0
"3563",3564,2,-9,NA,NA,NA,NA,-9,-9,-9,-27,3564,0,0,7,7,7,7,0,7,7,7,0,0,7,7,7,7,7,7,7,7,7,5,7,7,4,5,7,5,7,6,3,2,0,7,4,7,7,5,3,6,5,5,4,2,2,0,3,6,7,7,4,7,7,7,7,7,3,3,7,7,1,7,7,3,3,1,1,2,7,3,3,3,0,4,4,3,4,3,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,5,7,7,4,7,7,2,0,0
"3564",3565,6,7,4,4,4,12,2,3,2,7,3565,0,0,0,0,0,1,0,0,0,0,0,0,2,7,2,2,7,7,7,7,2,7,7,7,7,7,3,3,7,7,7,2,0,7,2,3,3,3,3,1,2,3,3,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,6,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,7,7,7,7,7,7,0,0
"3565",3566,6,7,NA,NA,NA,NA,-9,-9,-9,-27,3566,7,NA,7,NA,NA,7,NA,7,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,2,2,2,2,2,2,1,2,2,2,2,7,7,7,7,3,3,7,7,7,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3566",3567,2,1,NA,NA,NA,NA,-9,-9,-9,-27,3567,0,1,0,0,0,0,0,0,0,0,0,2,7,7,5,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,2,7,3,7,7,3,7,7,7,7,7,3,1,3,7,5,7,7,7,7,5,5,5,7,2,1,7,7,3,7,7,3,3,2,2,5,5,2,1,2,5,3,3,3,7,7,1,0,7,4,2,5,5,5,2,4,4,5,5,5,5,4,4,4,4,7,5,2,2,4,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,6,6,7,3,7,7,5,0,0
"3567",3568,1,1,NA,NA,NA,NA,-9,-9,-9,-27,3568,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,2,4,7,7,5,3,7,7,4,3,5,5,3,5,2,1,7,3,7,7,7,4,2,5,3,3,5,2,1,3,6,0,7,7,7,0,1,0,0,7,4,4,1,0,7,7,7,7,7,5,5,3,7,4,1,0,7,4,4,3,2,5,3,2,7,7,3,7,7,7,4,6,2,2,1,1,0,7,0,5,7,7,5,0,0,3,4,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,2,5,4,7,7,7,3,0,0
"3568",3569,6,-9,NA,NA,NA,NA,4,3,3,10,3569,2,0,0,1,0,0,0,0,2,0,0,0,2,3,0,0,7,2,7,7,3,2,7,7,7,4,3,3,3,7,1,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,3,0,7,3,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,7,2,7,7,7,3,0,0
"3569",3570,3,7,NA,NA,NA,NA,2,3,4,9,3570,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,5,7,7,7,3,7,7,7,7,7,7,2,7,7,0,5,5,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,6,5,5,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,6,4,7,5,7,4,0,0
"3570",3571,3,3,3,2,3,8,-9,-9,-9,-27,3571,1,2,0,1,0,1,0,2,0,0,1,0,7,7,3,3,7,3,7,7,7,7,7,7,7,7,4,7,7,7,1,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,4,3,2,2,4,4,2,4,0,3,3,7,7,3,5,7,7,4,2,2,3,0,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,7,3,3,3,7,7,3,0,0
"3571",3572,-9,4,NA,NA,NA,NA,4,3,4,11,3572,0,3,0,2,0,7,2,2,2,0,0,0,7,3,3,3,7,2,7,7,3,5,7,7,7,3,7,7,4,4,3,1,0,7,0,7,7,2,0,2,0,5,2,1,0,0,0,7,7,7,7,7,6,6,6,6,3,3,7,3,6,7,7,5,5,5,5,4,5,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,2,7,2,2,2,2,2,2,2,2,7,7,3,3,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,7,3,7,7,7,3,0,0
"3572",3573,5,2,NA,NA,NA,NA,3,3,3,9,3573,0,0,0,5,0,0,0,0,0,0,0,0,7,7,1,0,7,7,7,7,7,7,7,7,7,7,7,0,7,7,3,2,0,3,7,7,7,7,0,4,6,7,7,7,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,1,1,1,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,7,7,3,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,3,7,7,7,7,7,7,0,0
"3573",3574,5,6,4,3,4,11,3,3,3,9,3574,1,1,2,1,0,0,0,0,0,0,2,1,4,7,3,3,7,2,7,7,2,3,7,7,7,7,4,3,7,7,2,1,7,7,1,3,7,3,2,2,1,3,7,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,1,3,3,5,3,0,0
"3574",3575,6,-9,2,2,2,6,-9,-9,-9,-27,3575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,0,0,4,NA,7,NA,4,7,7,7,0,3,4,5,7,7,4,0,5,1,2,2,2,1,2,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3575",3576,1,1,NA,NA,NA,NA,5,5,5,15,3576,2,NA,NA,3,NA,5,NA,NA,3,NA,NA,2,7,7,3,NA,NA,NA,NA,NA,NA,7,7,7,7,4,5,5,5,7,1,1,0,7,1,7,7,2,2,1,1,1,7,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,2,7,7,7,7,7,7,1,1,0,5,1,1,1,7,2,5,0,5,0,3,3,7,5,5,3,3,7,7,7,7,7,7,3,7,7,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,NA,NA,7,NA,NA,0,0
"3576",3577,6,-9,NA,NA,NA,NA,-9,-9,-9,-27,3577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,3,NA,NA,NA,NA,NA,NA,3,7,7,7,3,2,3,2,7,2,2,2,7,NA,0,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,0,0
"3577",3578,1,1,3,2,2,7,2,2,2,6,3578,0,0,0,0,0,7,0,0,0,0,0,0,4,3,5,2,4,1,7,7,2,6,7,7,7,4,7,7,5,7,3,3,0,7,5,7,7,5,4,7,4,5,7,2,2,0,7,7,7,7,7,7,7,7,7,7,4,1,0,7,7,7,7,7,7,7,7,7,7,3,1,0,7,7,5,5,6,6,7,4,7,7,4,4,3,7,4,2,7,7,7,6,6,7,5,2,6,7,5,5,5,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,4,0,7,0,7,0,0,0
"3578",3579,2,1,NA,NA,NA,NA,-9,-9,-9,-27,3579,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,7,0,7,7,7,2,4,7,7,3,3,3,7,7,0,2,7,7,3,7,7,4,3,3,3,7,7,0,1,7,7,7,7,7,4,5,0,1,7,3,0,2,7,7,2,7,7,3,7,2,5,7,4,0,2,3,7,2,3,3,7,4,2,1,7,3,3,3,5,7,3,4,7,7,2,2,7,7,5,2,2,7,0,0,0,2,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,0,3,3,7,0,0,0
"3579",3580,6,7,NA,NA,NA,NA,-9,-9,-9,-27,3580,7,3,2,0,2,3,0,4,4,0,2,0,7,7,7,NA,NA,NA,NA,NA,NA,1,7,7,7,7,2,2,7,4,3,4,7,7,NA,NA,2,NA,NA,NA,NA,3,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,7,6,7,1,4,7,7,7,7,4,7,5,7,7,7,7,7,3,7,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3580",3581,1,1,NA,NA,NA,NA,4,4,4,12,3581,0,0,0,7,0,0,3,7,3,0,0,0,6,7,2,6,5,1,7,7,5,7,7,7,7,7,7,7,7,7,1,1,7,7,5,7,7,7,6,5,5,6,7,1,1,7,5,4,7,4,1,2,2,2,2,3,0,1,5,4,5,7,0,0,7,3,3,5,3,0,1,4,5,3,5,5,2,4,2,2,4,0,1,5,5,3,4,3,4,2,5,4,1,7,2,5,1,5,5,5,5,5,0,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,5,1,6,5,7,5,0,0
"3581",3582,6,6,4,4,3,11,4,3,4,11,3582,1,1,2,3,2,0,0,1,1,1,3,2,7,7,7,0,4,2,7,7,NA,7,7,7,3,1,7,7,7,7,3,1,0,7,2,7,7,0,2,7,7,2,7,0,1,0,7,7,7,7,7,7,4,0,7,7,1,1,0,7,7,7,7,7,7,2,0,7,3,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,3,3,7,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3582",3583,2,2,NA,NA,NA,NA,2,2,2,6,3583,0,3,0,0,2,4,0,7,3,0,3,7,7,7,5,5,7,2,7,7,5,3,7,7,7,7,5,5,7,7,3,2,0,7,2,7,7,3,7,3,3,7,7,3,2,0,7,7,7,7,7,7,7,7,7,7,7,2,3,7,2,7,7,7,4,2,3,4,7,7,2,1,7,3,3,3,3,7,2,2,3,1,1,1,7,7,4,4,5,3,3,3,7,7,7,4,2,2,7,7,7,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,2,7,7,7,7,0,0
"3583",3584,3,6,NA,NA,NA,NA,2,3,3,8,3584,0,0,0,0,0,3,3,7,0,7,2,0,1,7,3,1,7,7,7,7,1,7,7,7,2,1,7,1,1,1,7,1,0,7,NA,7,7,NA,NA,2,2,7,NA,7,3,0,3,7,7,7,3,7,7,7,3,7,3,2,0,7,3,7,7,2,7,3,3,7,7,2,2,0,2,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,4,6,3,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,7,7,7,7,7,2,0,0
"3584",3585,1,1,NA,NA,NA,NA,3,3,2,8,3585,0,1,0,0,1,1,1,1,1,1,1,1,2,7,3,NA,NA,NA,NA,NA,NA,4,7,7,7,7,7,7,7,7,1,1,7,7,3,7,7,7,7,2,2,7,7,1,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,4,7,5,4,5,4,2,2,3,7,1,1,1,2,7,2,1,7,6,7,5,5,7,2,3,3,6,6,6,5,7,7,3,5,7,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,7,NA,NA,3,NA,NA,0,0
"3585",3586,6,7,2,2,2,6,2,3,2,7,3586,4,1,0,1,0,3,2,0,0,0,0,0,7,7,7,7,4,3,7,7,3,4,7,7,7,5,6,5,7,7,3,2,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,7,7,7,7,7,7,7,2,3,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2,7,7,3,0,0
"3586",3587,5,6,NA,NA,NA,NA,3,2,4,9,3587,1,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,5,5,7,7,NA,2,7,7,1,3,0,0,4,3,3,1,0,0,3,5,5,2,5,4,3,5,5,2,1,0,0,NA,2,3,NA,NA,0,2,2,2,2,0,NA,2,5,7,7,7,5,5,5,7,7,3,2,7,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,7,7,7,3,2,5,NA,1,2,2,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,0,0,5,0,NA,5,5,2,0,0
"3587",3588,2,5,1,2,1,4,-9,-9,-9,-27,3588,0,0,0,0,0,5,0,0,0,0,0,0,7,7,5,5,5,2,7,7,7,3,7,7,4,7,7,7,0,4,3,3,3,7,5,7,7,3,0,3,3,0,3,3,3,3,5,5,5,7,7,7,7,7,5,7,7,2,7,5,4,5,7,7,7,7,7,7,7,7,2,7,3,2,2,5,1,7,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,7,7,3,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,4,5,2,7,7,7,7,0,0
"3588",3589,5,7,4,4,4,12,4,4,3,11,3589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,5,5,7,7,7,7,NA,7,7,7,7,2,7,7,7,7,7,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,7,NA,NA,7,7,NA,7,7,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,7,1,1,3,NA,NA,NA,7,7,3,NA,7,7,7,1,1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3589",3590,1,1,NA,NA,NA,NA,3,3,4,10,3590,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,3,3,7,7,7,7,7,7,7,7,7,7,3,7,1,1,7,7,7,7,7,7,3,3,7,3,7,1,1,7,3,7,7,7,7,7,7,7,7,7,7,1,0,7,7,7,7,7,7,7,7,7,7,7,1,0,4,0,2,0,3,7,1,3,4,1,7,7,1,7,3,2,7,7,7,7,4,7,2,3,7,7,7,7,7,7,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,3,4,7,7,7,4,0,0
"3590",3591,6,6,4,3,3,10,4,4,4,12,3591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,3,3,5,5,7,7,NA,7,7,7,5,3,4,5,7,7,4,2,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3591",3592,2,3,3,3,3,9,4,4,4,12,3592,0,0,0,0,0,3,1,0,0,1,0,0,7,1,0,0,2,5,7,7,7,1,7,5,7,0,0,0,3,4,1,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,2,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,1,4,7,7,4,0,0
"3592",3593,1,1,3,3,2,8,2,3,3,8,3593,3,0,0,2,0,2,0,0,0,0,2,0,5,4,6,2,2,2,7,7,3,3,7,7,7,5,7,3,4,7,2,0,7,5,3,7,7,7,4,3,3,5,7,2,1,7,2,7,7,7,3,7,7,7,5,7,4,1,0,4,7,7,7,4,6,7,7,7,5,4,2,0,7,1,3,2,4,7,5,4,7,0,3,7,3,7,4,1,3,5,5,2,4,5,5,1,1,7,1,1,3,2,5,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,6,6,7,1,0,0
"3593",3594,6,-14,NA,NA,NA,NA,2,2,2,6,3594,0,0,2,0,0,5,0,0,0,0,0,0,7,4,3,5,7,4,7,7,0,3,7,7,7,4,7,5,7,7,7,2,0,7,2,7,7,3,7,1,2,7,7,0,2,0,2,3,7,7,7,3,5,3,3,5,7,2,0,3,2,7,7,2,5,7,1,3,7,2,1,0,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,2,7,3,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,0,7,0,0,0
"3594",3595,1,1,NA,NA,NA,NA,3,3,3,9,3595,1,0,0,1,0,1,0,0,1,0,0,1,7,7,5,7,7,1,7,7,7,7,7,7,3,0,7,1,7,5,3,1,0,6,1,7,7,7,0,1,5,7,6,3,1,0,1,7,7,7,7,5,7,7,2,7,1,1,7,7,2,7,7,7,3,3,5,7,7,1,1,7,7,0,0,5,7,4,7,3,2,3,1,4,4,6,4,3,1,5,6,2,2,7,3,1,2,6,1,4,1,7,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,7,7,1,7,7,7,0,0,0
"3595",3596,2,-9,NA,NA,NA,NA,-9,-9,-9,-27,3596,0,0,0,0,2,4,0,2,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,4,4,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3596",3597,5,-9,NA,NA,NA,NA,-9,-9,-9,-27,3597,0,0,0,2,0,0,0,0,1,0,0,0,7,7,3,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,0,7,2,1,0,7,NA,2,7,NA,NA,NA,NA,NA,NA,NA,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3597",3598,-9,2,NA,NA,NA,NA,4,3,4,11,3598,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,3,7,7,7,7,0,7,7,7,0,4,5,2,5,7,0,2,4,7,2,7,7,0,2,2,0,2,4,0,2,0,2,7,7,7,3,7,7,7,7,7,0,3,0,7,3,7,7,1,7,1,1,3,7,0,2,0,7,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,5,7,2,3,7,7,7,7,3,7,2,3,3,7,7,4,4,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,0,7,7,7,0,0,0
"3598",3599,6,-9,NA,NA,NA,NA,-9,-9,-9,-27,3599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,0,7,7,0,7,7,7,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
