"","idnum","mothid4","m4b0","m4b1","m4b2","m4b4a1","m4b26a","m4b4a2","m4b26b","m4b4a3","m4b26c","m4b4a4","m4b26d","m4b4a5","m4b26e","m4b4a6","m4b26f","m4b4a7","m4b26g","m4b4a8","m4b26h","m4b5","m4b5a","m4b8","m4b8a","m4b8b","m4b27","m4b28a","m4b28b","m4b28c","m4c3a","m4c3b","m4c3c","m4c3d","m4c3e","m4c3f","m4c3g","m4c3h","m4c4","m4c4a","m4c5","m4c7a","m4c7b","m4c7c","m4c7d","m4c26a","m4c26b","m4c26c","m4c26d","m4i0e","m4j18","kind_a5","kind_a6","kind_a7","kind_b1a","kind_b1b","kind_b1c","kind_b1d","kind_b1e","kind_b1f","kind_b1g","kind_b1h","kind_b1i"
"2537","2537","25370",1,1,1,2,-6,2,-6,3,-6,6,-6,7,-6,7,-6,1,-6,2,-6,1,4,1,2,30,-6,-6,-6,-6,1,2,0,3,7,7,1,3,1,4,1,1,1,1,1,-6,-6,-6,-6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2538","2538","25380",1,1,3,7,-6,5,-6,5,-6,7,-6,7,-6,7,-6,2,-6,7,-6,2,-6,2,-6,-6,-6,-6,-6,-6,2,7,0,2,7,2,3,3,2,-6,2,1,3,1,1,-6,-6,-6,-6,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2539","2539","25390",1,1,1,7,-6,7,-6,7,-6,7,-6,7,-6,3,-6,6,-6,7,-6,1,4,1,1,35,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,4,4,4,4,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2540","2540","25400",1,2,1,4,-6,5,-6,4,-6,3,-6,7,-6,5,-6,3,-6,4,-6,1,3,1,5,36,-6,-6,-6,-6,0,0,0,1,1,1,1,2,1,4,3,3,4,4,4,3,2,4,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2
"2541","2541","25410",1,2,1,5,-6,7,-6,3,-6,3,-6,7,-6,3,-6,2,-6,3,-6,1,4,1,5,30,-6,-6,-6,-6,2,3,2,3,7,5,3,4,2,-6,1,1,1,1,1,1,1,1,1,2,2,3,3,3,5,5,5,5,5,4,5,5,5
"2542","2542","25420",1,1,2,7,-6,7,-6,7,-6,6,-6,7,-6,3,-6,6,-6,6,-6,1,4,1,5,12,-6,-6,-6,-6,2,4,4,5,5,3,4,5,1,3,1,1,1,1,3,-6,-6,-6,-6,2,2,2,3,2,3,5,3,2,4,1,2,3,2
"2543","2543","25430",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544","2544","25440",1,2,1,4,-6,5,-6,5,-6,3,-6,7,-6,7,-6,4,-6,4,-6,1,4,1,1,30,-6,-6,-6,-6,2,3,3,2,3,7,3,5,2,-6,1,1,1,1,1,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545","2545","25450",1,1,1,7,-6,7,-6,4,-6,7,-6,7,-6,0,-6,2,-6,2,-6,1,4,1,3,45,-6,-6,-6,-6,2,2,2,2,7,0,2,4,1,4,1,1,1,1,1,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2546","2546","25460",1,1,1,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,2,-6,5,-6,2,-6,1,4,30,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2547","2547","25470",1,2,3,7,-6,7,-6,2,-6,7,-6,7,-6,7,-6,5,-6,7,-6,1,4,2,-6,-6,-6,-6,-6,-6,0,0,0,1,1,0,0,1,2,-6,4,4,3,4,3,4,2,4,4,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2548","2548","25480",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2549","2549","25490",2,-6,-6,-6,0,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,-6,-6,-6,-6,4,1,2,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2550","2550","25500",1,2,1,3,-6,4,-6,4,-6,7,-6,7,-6,2,-6,2,-6,7,-6,1,2,2,-6,-6,-6,-6,-6,-6,-2,0,0,-2,-2,-2,-2,-2,1,4,2,1,1,4,4,2,2,4,2,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2551","2551","25510",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2552","2552","25520",1,1,1,7,-6,5,-6,7,-6,5,-6,7,-6,3,-6,6,-6,2,-6,1,4,2,-6,-6,-6,-6,-6,-6,4,3,7,3,7,3,7,2,1,4,1,1,1,1,1,-6,-6,-6,-6,-6,2,3,3,3,5,5,4,3,3,4,4,4,3
"2553","2553","25530",1,2,2,7,-6,3,-6,3,-6,1,-6,2,-6,7,-6,2,-6,7,-6,2,-6,1,5,40,-6,-6,-6,-6,1,1,3,0,1,7,1,1,2,-6,1,3,1,4,2,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2554","2554","25540",1,3,3,2,-6,2,-6,3,-6,7,-6,7,-6,1,-6,1,-6,7,-6,2,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2555","2555","25550",1,1,2,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,3,-6,7,-6,2,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2556","2556","25560",1,2,2,7,-6,2,-6,2,-6,7,-6,7,-6,1,-6,5,-6,7,-6,1,3,1,5,35,-6,-6,-6,-6,0,0,1,1,7,0,0,1,2,-6,4,3,4,3,3,3,3,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2557","2557","25570",1,2,1,2,-6,5,-6,1,-6,1,-6,5,-6,5,-6,3,-6,3,-6,1,2,1,3,40,-6,-6,-6,-6,-2,-2,-2,1,1,1,1,1,2,-6,3,3,4,4,4,4,3,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558","2558","25580",1,1,1,7,-6,2,-6,7,-6,2,-6,7,-6,2,-6,3,-6,7,-6,1,4,1,1,45,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,3,4,4,4,3,3,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2559","2559","25590",1,2,1,2,-6,7,-6,0,-6,7,-6,7,-6,3,-6,3,-6,7,-6,2,-6,1,3,30,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,1,4,4,4,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2560","2560","25600",1,1,1,7,-6,4,-6,7,-6,7,-6,7,-6,3,-6,3,-6,7,-6,1,4,1,5,40,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,4,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2561","2561","25610",1,3,2,4,-6,7,-6,5,-6,3,-6,7,-6,3,-6,4,-6,7,-6,2,-6,1,3,40,-6,-6,-6,-6,3,2,3,2,4,2,3,2,2,-6,2,2,2,2,2,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2562","2562","25620",1,1,1,5,-6,5,-6,2,-6,0,-6,7,-6,3,-6,2,-6,3,-6,1,4,2,-6,-6,-6,-6,-6,-6,0,0,0,0,2,2,2,2,2,-6,3,4,3,4,4,4,2,4,1,-6,2,3,3,3,4,4,4,4,4,4,4,4,4
"2563","2563","25630",1,1,1,7,-6,3,-6,0,-6,7,-6,7,-6,7,-6,0,-6,7,-6,1,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,4,4,4,4,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2564","2564","25640",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2565","2565","25650",1,1,1,7,-6,7,-6,7,-6,7,-6,7,-6,3,-6,5,-6,7,-6,2,-6,1,3,7,-6,-6,-6,-6,4,7,7,3,7,2,3,7,2,-6,1,1,4,2,3,-6,-6,-6,-6,2,1,3,3,2,4,5,5,5,5,3,4,4,4
"2566","2566","25660",1,2,1,7,-6,3,-6,2,-6,4,-6,7,-6,2,-6,4,-6,5,-6,1,3,1,1,28,-6,-6,-6,-6,0,-2,-2,-2,-2,0,0,-2,-2,-6,4,4,4,4,4,4,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2567","2567","25670",1,1,1,7,-6,7,-6,7,-6,7,-6,7,-6,5,-6,7,-6,5,-6,2,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,3,4,4,4,2,2,2,2,-6,2,2,2,3,2,3,2,3,3,3,3,3,3
"2568","2568","25680",1,1,1,7,-6,5,-6,5,-6,7,-6,7,-6,2,-6,5,-6,7,-6,2,-6,1,5,13,-6,-6,-6,-6,0,0,0,0,1,1,0,1,2,-6,3,2,3,3,3,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2569","2569","25690",1,2,2,2,-6,2,-6,0,-6,3,-6,7,-6,2,-6,7,-6,3,-6,1,4,1,5,16,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,3,3,4,4,2,2,5,3,4,5,5,5,5,5,5,5,5,5
"2570","2570","25700",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2571","2571","25710",1,1,1,1,-6,3,-6,0,-6,3,-6,5,-6,2,-6,1,-6,3,-6,2,-6,1,3,35,-6,-6,-6,-6,0,1,0,5,-2,0,2,3,2,-6,1,1,2,2,2,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2572","2572","25720",1,2,3,1,-6,2,-6,3,-6,1,-6,5,-6,3,-6,2,-6,3,-6,2,-6,1,1,35,-6,-6,-6,-6,1,0,0,5,5,3,1,6,2,-6,1,1,1,1,2,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2573","2573","25730",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2574","2574","25740",1,3,1,3,-6,4,-6,3,-6,2,-6,6,-6,5,-6,7,-6,4,-6,2,-6,1,5,30,-6,-6,-6,-6,0,0,0,0,1,2,3,-2,2,-6,2,4,4,4,4,2,2,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2575","2575","25750",1,1,1,7,-6,7,-6,5,-6,7,-6,7,-6,6,-6,3,-6,7,-6,2,-6,1,5,30,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,3,3,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2576","2576","25760",1,1,1,2,-6,5,-6,5,-6,7,-6,7,-6,3,-6,2,-6,3,-6,2,-6,1,5,40,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2577","2577","25770",1,1,3,7,-6,7,-6,7,-6,4,-6,7,-6,5,-6,4,-6,7,-6,2,-6,1,5,25,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2578","2578","25780",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2579","2579","25790",1,2,3,7,-6,7,-6,7,-6,5,-6,7,-6,7,-6,5,-6,7,-6,1,4,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,3,4,4,3,3,3,4,-6,2,2,2,3,2,1,2,2,2,1,2,2,2
"2580","2580","25800",2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,3,3,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2581","2581","25810",1,2,1,3,-6,7,-6,7,-6,3,-6,7,-6,3,-6,1,-6,7,-6,2,-6,1,7,35,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2582","2582","25820",1,2,1,4,-6,1,-6,0,-6,7,-6,7,-6,0,-6,2,-6,7,-6,1,4,1,1,40,-6,-6,-6,-6,0,0,0,7,7,0,1,7,1,4,1,1,1,1,1,2,2,2,2,1,2,3,3,3,3,5,2,1,2,2,2,1,2
"2583","2583","25830",2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,2,4,4,1,1,2,1,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2584","2584","25840",1,2,1,7,-6,7,-6,7,-6,7,-6,7,-6,5,-6,5,-6,5,-6,1,4,1,5,24,-6,-6,-6,-6,7,7,7,7,7,5,5,5,2,-6,1,1,1,2,1,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2585","2585","25850",1,2,1,1,-6,3,-6,7,-6,7,-6,7,-6,7,-6,2,-6,7,-6,2,-6,1,3,35,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,3,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2586","2586","25860",1,2,1,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,4,-6,4,-6,2,-6,1,3,20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2587","2587","25870",1,1,1,3,-6,4,-6,3,-6,6,-6,7,-6,7,-6,3,-6,5,-6,2,-6,2,-6,-6,-6,-6,-6,-6,4,3,3,7,7,6,2,4,2,-6,1,1,3,1,2,-6,-6,-6,-6,-6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2588","2588","25880",1,2,1,2,-6,7,-6,7,-6,3,-6,4,-6,1,-6,2,-6,7,-6,1,4,1,5,40,-6,-6,-6,-6,2,0,0,7,7,1,2,7,1,4,1,1,1,2,1,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2589","2589","25890",1,3,1,3,-6,5,-6,7,-6,3,-6,7,-6,2,-6,2,-6,7,-6,2,-6,1,3,56,-6,-6,-6,-6,0,0,0,0,0,0,0,0,2,-6,3,1,4,4,2,1,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2590","2590","25900",1,2,2,7,-6,3,-6,7,-6,7,-6,7,-6,7,-6,3,-6,7,-6,2,-6,1,1,30,-6,-6,-6,-6,3,3,3,2,7,3,0,2,2,-6,2,4,4,4,4,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2591","2591","25910",1,2,1,7,-6,7,-6,7,-6,3,-6,7,-6,3,-6,7,-6,2,-6,2,-6,1,7,40,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2592","2592","25920",1,2,2,7,-6,5,-6,7,-6,7,-6,7,-6,7,-6,2,-6,7,-6,1,4,1,5,10,-6,-6,-6,-6,0,0,0,1,2,1,0,7,1,4,3,4,4,1,4,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2593","2593","25930",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2594","2594","25940",1,3,3,4,-6,6,-6,6,-6,7,-6,7,-6,7,-6,1,-6,4,-6,1,4,1,5,10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,3,4,4,4,4,4,4,4,1,1,1,1,2,1,2,1,1,1,1,2,2,1
"2595","2595","25950",1,1,1,0,-6,7,-6,0,-6,2,-6,7,-6,2,-6,2,-6,7,-6,2,-6,1,5,5,-6,-6,-6,-6,0,0,0,2,2,2,2,2,2,-6,2,4,4,4,4,3,3,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2596","2596","25960",1,3,2,2,-6,7,-6,0,-6,0,-6,4,-6,0,-6,0,-6,4,-6,2,-6,1,1,45,-6,-6,-6,-6,1,1,1,1,1,1,1,1,2,-6,3,4,4,4,3,1,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2597","2597","25970",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2598","2598","25980",1,1,3,2,-6,5,-6,7,-6,3,-6,7,-6,2,-6,1,-6,4,-6,1,4,1,1,40,-6,-6,-6,-6,0,0,3,3,7,3,1,3,1,4,3,3,1,1,4,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2599","2599","25990",2,-6,-6,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,-6,-6,-6,-6,4,1,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,3,3,3,3,-6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2600","2600","26000",1,2,1,1,-6,3,-6,3,-6,5,-6,6,-6,3,-6,1,-6,5,-6,2,-6,2,-6,-6,-6,-6,-6,-6,3,7,5,6,7,4,1,5,1,4,1,1,1,1,1,-6,-6,-6,-6,-6,2,3,3,3,5,5,5,5,5,5,5,5,5
"2601","2601","26010",1,1,1,7,-6,1,-6,3,-6,4,-6,7,-6,7,-6,7,-6,7,-6,2,-6,1,6,40,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,1,3,3,3,3,3,1,3,1,3,4,3,4
"2602","2602","26020",2,-6,-6,-6,5,-6,1,-6,1,-6,5,-6,5,-6,2,-6,1,-6,2,-6,-6,-6,-6,-6,4,2,2,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,4,4,4,5,5,5,5,5,5,5,5,5
"2603","2603","26030",1,2,1,2,-6,7,-6,1,-6,7,-6,4,-6,3,-6,3,-6,7,-6,2,-6,1,7,40,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,4,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2604","2604","26040",1,2,2,2,-6,2,-6,2,-6,3,-6,7,-6,3,-6,2,-6,7,-6,1,4,1,5,10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,3,3,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2605","2605","26050",1,1,1,5,-6,7,-6,0,-6,3,-6,7,-6,5,-6,3,-6,2,-6,2,-6,1,3,30,-6,-6,-6,-6,0,0,0,2,7,3,3,1,2,-6,1,1,1,1,1,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2606","2606","26060",1,2,1,6,-6,6,-6,7,-6,7,-6,7,-6,5,-6,4,-6,1,-6,2,-6,2,-6,-6,-6,-6,-6,-6,1,1,5,5,7,5,3,1,2,-6,1,2,1,1,3,-6,-6,-6,-6,-6,2,4,4,5,5,5,3,4,5,5,5,5,5
"2607","2607","26070",1,1,1,4,-6,7,-6,7,-6,7,-6,7,-6,7,-6,2,-6,2,-6,2,-6,1,4,15,-6,-6,-6,-6,4,0,2,1,7,4,2,2,2,-6,1,1,3,1,3,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2608","2608","26080",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2609","2609","26090",1,2,1,1,-6,4,-6,1,-6,5,-6,7,-6,1,-6,3,-6,3,-6,1,4,1,1,50,-6,-6,-6,-6,1,2,5,7,7,2,3,7,2,-6,1,1,4,4,1,2,1,2,1,2,2,3,3,3,3,3,3,6,2,2,2,1,2
"2610","2610","26100",1,2,1,7,-6,7,-6,7,-6,7,-6,5,-6,5,-6,4,-6,7,-6,2,-6,1,6,20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2611","2611","26110",1,1,1,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,4,-6,4,-6,2,-6,1,5,35,-6,-6,-6,-6,7,7,7,7,7,7,4,4,2,-6,1,1,1,1,1,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2612","2612","26120",1,2,2,5,-6,7,-6,3,-6,7,-6,7,-6,2,-6,4,-6,2,-6,1,3,1,5,25,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2613","2613","26130",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2614","2614","26140",1,2,2,7,-6,5,-6,5,-6,7,-6,7,-6,7,-6,5,-6,7,-6,1,4,2,-6,-6,-6,-6,-6,-6,5,5,4,7,7,7,2,7,1,4,1,1,1,1,1,-6,-6,-6,-6,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2615","2615","26150",1,1,1,3,-6,5,-6,5,-6,5,-6,7,-6,5,-6,5,-6,7,-6,1,3,1,5,40,-6,-6,-6,-6,0,0,0,-2,-2,-2,-2,-2,2,-6,3,3,4,4,3,1,1,3,1,2,2,3,3,3,3,5,2,3,3,3,3,3,3
"2616","2616","26160",1,2,2,5,-6,7,-6,4,-6,3,-6,7,-6,1,-6,2,-6,7,-6,1,3,1,7,20,-6,-6,-6,-6,-2,-2,-2,4,7,-2,-2,7,-2,-6,3,3,4,4,3,2,3,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2617","2617","26170",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
