"","idnum","mothid3","cm3fint","m3a4","m3a4b","m3a8c","m3a9","cm3age","cm3b_age","m3a4a","m3a4a1","m3a4a2","m3b4a","m3b4c","m3b4d","m3b4e","m3b4f","m3b4b","m3b4m","m3b4g","m3b4h","m3b4i","m3b4k","m3b4l","m3b5","m3b5a","m3b7","m3b7a","m3c1","m3c1a","m3c2a","m3c2b1","m3c2b2","m3c2c","m3c2d","m3c3a","m3c3f","m3c3g","m3c3h","m3c3j","m3c3b","m3c3m","m3c4","m3c3c","m3c3d","m3c3e","m3c3i","m3c3k","m3c3l"
"3970","3970","39700",0,4,-6,2,5,18,34,-6,-6,-6,7,7,2,7,7,7,7,0,7,7,2,0,1,2,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3971","3971","39710",0,5,-6,2,5,32,37,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,3,0,2,-6,1,32,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3972","3972","39720",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"3973","3973","39730",0,2,7,1,-6,31,37,1,1,2,7,7,7,3,3,7,7,2,7,7,0,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,0,0,-2,0,0,7,2,2,7,0,0,7,0,5
"3974","3974","39740",1,1,-6,1,-6,24,37,-6,1,1,5,7,3,6,2,7,7,2,4,7,2,7,1,3,1,30,1,-6,-6,-6,-6,-6,-6,3,1,1,1,1,7,2,1,7,2,2,7,2,7
"3975","3975","39750",1,4,-6,2,3,35,37,-6,-6,-6,2,7,5,2,3,7,7,3,4,6,1,7,1,2,2,-6,2,2,0,3,2002,1,50,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3976","3976","39760",0,3,-6,2,2,24,35,-6,-6,-6,0,7,2,0,0,7,7,0,1,7,0,0,1,3,1,36,2,2,2,-6,-6,2,-6,0,0,0,0,0,-2,0,1,-2,-2,0,-2,0,0
"3977","3977","39770",1,2,0,2,1,22,33,1,4,2,5,7,4,3,5,7,7,5,7,7,1,1,2,-6,1,20,2,2,4,-6,-6,1,6,0,0,0,0,0,1,0,2,7,0,0,0,0,0
"3978","3978","39780",1,1,-6,1,-6,29,37,-6,1,1,3,7,7,3,1,7,7,3,0,5,1,0,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,1,0,3,0,2,7,4,1,7,2,5,4,1,0
"3979","3979","39790",1,5,-6,2,1,28,34,-6,-6,-6,5,7,7,7,7,7,7,7,7,7,2,7,1,4,2,-6,2,2,30,-6,-6,1,-2,2,4,4,4,4,4,4,2,4,7,4,4,2,4
"3980","3980","39800",1,4,-6,2,2,20,35,-6,-6,-6,4,7,5,7,7,7,7,5,7,7,3,7,2,-6,1,25,2,2,20,-6,-6,1,30,0,2,7,4,4,6,2,-2,6,-2,3,7,2,4
"3981","3981","39810",1,4,-6,2,3,21,34,-6,-6,-6,7,7,7,7,4,7,7,3,7,7,3,0,1,2,1,40,2,2,8,-6,-6,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
"3982","3982","39820",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"3983","3983","39830",1,5,-6,2,5,29,36,-6,-6,-6,7,7,7,7,7,7,0,2,7,7,7,0,2,-6,1,56,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3984","3984","39840",1,5,-6,2,1,33,35,-6,-6,-6,7,7,7,7,2,7,1,0,0,7,1,0,1,4,1,40,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3985","3985","39850",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"3986","3986","39860",0,3,-6,2,5,35,34,-6,-6,-6,1,7,7,7,5,7,7,5,7,7,5,7,2,-6,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3987","3987","39870",1,2,7,1,-6,21,35,2,1,2,4,7,7,3,4,7,0,3,5,7,1,0,2,-6,1,45,1,-6,-6,-6,-6,-6,-6,7,3,3,4,3,7,0,2,7,7,7,7,0,0
"3988","3988","39880",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"3989","3989","39890",1,2,3,2,1,20,35,1,4,2,7,7,0,3,3,7,7,1,7,5,2,2,1,3,2,-6,2,2,25,-6,-6,1,540,1,1,2,5,2,7,1,1,7,0,3,3,2,0
"3990","3990","39900",0,5,-6,2,5,24,40,-6,-6,-6,3,7,4,2,2,7,7,0,4,3,2,0,1,3,1,40,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3991","3991","39910",1,1,-6,1,-6,34,41,-6,1,1,7,7,7,1,7,7,0,7,7,4,1,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,5,2,4,7,1,7,0,1,7,3,-2,3,1,0
"3992","3992","39920",0,5,-6,2,6,24,36,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3993","3993","39930",1,1,-6,1,-6,30,33,-6,1,1,4,7,7,2,7,7,7,7,7,7,1,7,1,2,1,8,1,-6,-6,-6,-6,-6,-6,3,3,3,7,3,7,7,1,7,2,0,7,1,7
"3994","3994","39940",1,1,-6,1,-6,25,38,-6,1,1,6,7,6,5,5,7,7,5,5,6,3,6,1,2,1,18,1,-6,-6,-6,-6,-6,-6,5,5,5,5,3,7,2,1,7,5,4,6,2,2
"3995","3995","39950",0,3,-6,2,2,41,33,-6,-6,-6,3,7,7,3,7,7,0,7,7,7,2,0,1,2,1,40,2,2,4,-6,-6,1,30,2,2,2,2,2,2,2,1,2,2,2,2,1,0
"3996","3996","39960",1,2,7,1,-6,25,34,1,1,2,5,7,7,1,5,7,7,5,7,7,1,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,3,2,5,5,2,7,7,2,7,0,5,7,1,0
"3997","3997","39970",1,2,3,2,1,25,34,1,4,2,7,7,7,7,7,7,7,7,7,7,2,0,2,-6,1,35,2,2,30,-6,-6,1,999,4,2,2,2,1,7,1,1,7,2,0,2,2,0
"3998","3998","39980",1,1,-6,1,-6,31,35,-6,1,1,3,7,5,3,4,7,7,4,3,4,1,0,2,-6,1,35,1,-6,-6,-6,-6,-6,-6,7,7,7,5,7,7,7,2,7,3,7,5,1,0
"3999","3999","39990",1,1,-6,1,-6,27,36,-6,1,1,2,7,3,3,2,7,7,2,1,7,1,0,2,-6,1,35,1,-6,-6,-6,-6,-6,-6,1,1,1,4,2,7,7,1,7,2,3,7,2,0
"4000","4000","40000",0,4,-6,2,1,44,39,-6,-6,-6,7,7,7,7,4,7,7,2,7,7,1,0,2,-6,2,-6,2,2,30,-6,-6,1,999,1,0,1,1,0,5,3,2,5,1,1,5,0,3
"4001","4001","40010",1,1,-6,1,-6,20,33,-6,1,1,5,7,4,7,7,7,7,7,4,7,1,7,1,3,1,12,1,-6,-6,-6,-6,-6,-6,2,0,4,1,7,7,2,2,7,4,3,4,2,7
"4002","4002","40020",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4003","4003","40030",0,4,-6,2,2,24,35,-6,-6,-6,5,7,2,3,5,7,7,4,7,7,1,7,2,-6,2,-6,2,2,30,-6,-6,2,-6,2,2,1,7,1,7,7,2,7,7,7,7,1,4
"4004","4004","40040",1,1,-6,1,-6,29,35,-6,1,1,7,7,3,3,5,7,7,5,7,7,5,7,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,1,2,2,2,5,7,5,1,5,3,3,7,5,5
"4005","4005","40050",1,2,7,1,-6,29,38,1,1,2,2,7,7,7,5,7,7,5,0,7,2,2,1,4,1,48,1,-6,-6,-6,-6,-6,-6,7,7,7,0,5,7,7,1,7,7,7,7,1,3
"4006","4006","40060",0,4,-6,2,4,29,44,-6,-6,-6,7,7,7,4,7,7,7,7,7,7,2,0,2,-6,1,40,2,2,0,1,2002,1,20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4007","4007","40070",1,2,7,1,-6,24,34,1,1,2,7,7,5,7,7,7,7,7,7,7,2,0,2,-6,1,30,1,-6,-6,-6,-6,-6,-6,7,4,4,7,7,7,7,2,7,2,7,7,2,0
"4008","4008","40080",1,3,-6,2,3,33,34,-6,-6,-6,4,7,0,1,7,7,6,0,1,3,2,2,2,-6,1,24,2,2,2,-6,-6,2,-6,0,0,0,1,0,1,0,2,1,0,1,1,1,0
"4009","4009","40090",0,4,-6,2,2,24,35,-6,-6,-6,7,7,5,7,5,7,7,7,7,7,3,0,2,-6,2,-6,2,2,20,-6,-6,1,-2,5,5,5,7,4,7,5,2,7,4,4,7,5,0
"4010","4010","40100",1,5,-6,2,6,33,34,-6,-6,-6,7,7,1,3,7,3,3,7,3,7,7,0,2,-6,1,5,2,2,30,-6,-6,1,999,1,0,0,7,3,7,7,2,7,7,7,7,1,7
"4011","4011","40110",1,5,-6,2,4,28,37,-6,-6,-6,7,7,7,7,5,7,7,4,7,7,1,0,2,-6,1,35,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4012","4012","40120",0,5,-6,2,2,36,44,-6,-6,-6,0,7,3,7,7,7,7,7,7,5,3,7,1,3,2,-6,2,2,25,-6,-6,1,2,3,2,2,3,4,5,4,1,7,5,3,3,4,4
"4013","4013","40130",1,2,7,1,-6,21,34,1,1,2,3,7,7,2,7,7,7,2,7,7,1,2,1,4,1,35,1,-6,-6,-6,-6,-6,-6,2,3,2,7,3,7,7,1,7,7,2,7,1,3
"4014","4014","40140",1,2,7,1,-6,26,34,1,1,2,3,7,1,0,4,7,0,2,7,7,2,0,1,4,1,24,1,-6,-6,-6,-6,-6,-6,1,2,0,7,3,7,0,1,7,0,0,7,2,0
"4015","4015","40150",1,3,-6,2,2,26,36,-6,-6,-6,7,7,4,6,2,7,7,3,6,7,3,2,1,4,1,40,2,2,20,-6,-6,1,500,0,0,0,0,1,3,0,2,5,0,0,1,1,1
"4016","4016","40160",1,2,3,1,-6,20,36,2,1,2,2,7,7,4,0,3,7,0,5,7,2,7,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,5,2,1,7,3,7,4,1,7,7,7,7,3,7
"4017","4017","40170",0,5,-6,2,6,32,40,-6,-6,-6,7,7,3,7,7,7,7,7,7,7,1,7,2,-6,1,40,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4018","4018","40180",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4019","4019","40190",1,2,0,2,1,23,33,1,2,2,6,7,7,2,4,7,7,4,7,7,2,0,1,1,1,32,1,-6,-6,-6,-6,-6,-6,-2,-2,-2,-2,2,7,3,1,7,-2,-2,7,-2,0
"4020","4020","40200",1,2,7,1,-6,25,40,1,1,2,4,7,7,6,7,7,7,7,7,7,2,7,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,3,7,7,7,3,7,7,1,7,5,7,7,2,7
"4021","4021","40210",0,5,-6,2,6,24,35,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,7,7,2,-6,1,40,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4022","4022","40220",0,5,-6,2,6,22,42,-6,-6,-6,7,7,7,0,7,7,4,2,1,7,0,0,1,2,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4023","4023","40230",1,2,2,2,1,18,36,1,2,2,7,7,7,7,7,7,7,7,7,7,2,0,1,4,1,15,1,-6,-6,-6,-6,-6,-6,7,7,7,1,1,1,1,1,7,1,1,7,1,0
"4024","4024","40240",0,5,-6,2,6,26,38,-6,-6,-6,7,7,7,3,7,7,7,4,7,7,2,0,2,-6,1,12,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4025","4025","40250",1,1,-6,1,-6,35,36,-6,1,1,2,7,4,4,3,7,7,0,2,3,1,4,1,3,1,2,1,-6,-6,-6,-6,-6,-6,2,1,0,3,0,7,0,2,7,2,0,4,1,2
"4026","4026","40260",1,2,7,1,-6,25,34,1,1,2,0,7,3,7,0,7,7,0,3,7,0,0,1,3,2,-6,1,-6,-6,-6,-6,-6,-6,1,0,0,2,0,5,0,1,1,0,3,0,0,0
"4027","4027","40270",1,1,-6,1,-6,34,37,-6,1,1,3,7,7,0,7,7,7,7,2,7,1,2,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,3,7,3,2,3,7,7,2,7,2,1,3,1,1
"4028","4028","40280",1,1,-6,1,-6,38,34,-6,1,1,3,7,3,3,2,7,7,3,3,3,4,7,1,2,1,20,1,-6,-6,-6,-6,-6,-6,3,1,1,2,1,7,1,1,7,7,3,3,4,7
"4029","4029","40290",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4030","4030","40300",1,4,-6,2,2,24,39,-6,-6,-6,2,7,2,3,7,7,7,0,4,5,2,0,1,2,1,48,2,2,1,-6,-6,1,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4031","4031","40310",1,1,-6,1,-6,23,34,-6,1,1,7,7,7,7,5,7,7,0,7,7,2,0,1,4,1,20,1,-6,-6,-6,-6,-6,-6,-2,-2,7,-2,-2,7,7,-2,7,-2,7,-2,2,0
"4032","4032","40320",1,4,-6,2,1,26,33,-6,-6,-6,7,7,7,4,6,7,7,6,6,7,7,7,1,2,2,-6,2,2,8,-6,-6,1,100,4,7,4,7,7,7,7,2,7,7,4,7,7,7
"4033","4033","40330",1,1,-6,1,-6,28,35,-6,1,1,7,7,7,7,7,7,7,4,7,4,1,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,3,7,2,7,1,7,7,2,7,2,2,3,1,0
"4034","4034","40340",1,3,-6,2,1,35,33,-6,-6,-6,5,7,7,7,7,7,7,7,7,7,7,7,2,-6,1,35,2,2,15,-6,-6,1,-2,-2,0,1,1,0,7,4,-2,4,0,2,1,0,0
"4035","4035","40350",0,1,-6,1,-6,39,33,-6,1,1,5,7,7,7,7,7,7,7,7,7,3,7,1,3,1,34,1,-6,-6,-6,-6,-6,-6,3,2,2,2,1,7,3,1,7,3,3,3,3,3
"4036","4036","40360",1,1,-6,1,-6,27,34,-6,1,1,1,7,7,0,7,7,4,1,7,7,1,2,1,2,2,-6,1,-6,-6,-6,-6,-6,-6,-2,3,1,7,1,7,3,1,7,-2,3,7,1,0
"4037","4037","40370",1,4,-6,2,1,33,39,-6,-6,-6,7,7,7,7,3,7,7,2,7,7,2,7,1,4,1,8,2,2,3,-6,-6,1,1,0,0,0,1,0,1,1,2,1,0,1,0,1,0
"4038","4038","40380",1,1,-6,1,-6,32,34,-6,1,1,7,7,3,4,7,7,7,4,7,7,5,5,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,7,7,1,7,5,2,7,7,5,7,5,5
"4039","4039","40390",1,1,-6,1,-6,23,34,-6,1,1,3,7,5,7,7,7,7,4,1,7,1,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,2,0,4,0,1,7,7,2,7,1,7,1,1,1
"4040","4040","40400",0,2,7,1,-6,21,39,1,1,2,7,7,5,5,7,7,7,7,7,7,2,1,2,-6,1,20,1,-6,-6,-6,-6,-6,-6,6,3,7,4,3,7,7,2,7,7,6,7,2,3
"4041","4041","40410",0,5,-6,-6,-6,26,33,-6,-6,-6,1,7,7,2,1,7,7,1,3,7,2,1,1,4,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4042","4042","40420",1,1,-6,1,-6,33,37,-6,1,1,5,7,4,5,4,7,7,4,7,7,1,2,1,4,1,45,1,-6,-6,-6,-6,-6,-6,4,2,2,4,3,7,0,2,7,3,4,6,1,0
"4043","4043","40430",1,4,-6,2,3,23,40,-6,-6,-6,4,7,3,2,7,7,7,7,2,7,0,1,2,-6,1,30,2,2,2,-6,-6,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"4044","4044","40440",0,-14,-6,-6,-14,23,39,-6,-6,-6,7,7,3,2,4,7,7,4,7,7,3,0,1,3,1,40,2,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4045","4045","40450",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4046","4046","40460",1,2,7,1,-6,26,39,1,1,2,4,7,3,5,7,7,7,7,7,7,2,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,3,4,3,2,3,4,3,2,7,7,3,7,4,0
"4047","4047","40470",0,2,7,1,-6,23,41,1,1,2,7,7,7,3,2,7,7,2,7,3,1,7,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,1,0,0,1,0,2,2,1,7,1,1,3,1,7
"4048","4048","40480",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4049","4049","40490",1,5,-6,2,2,27,33,-6,-6,-6,4,7,5,5,2,7,7,4,3,5,2,0,1,3,1,8,2,2,20,-6,-6,1,35,4,2,5,5,2,5,2,2,5,3,3,6,3,1
"4050","4050","40500",1,2,3,1,-6,45,35,1,1,2,7,7,7,7,7,7,7,7,7,7,1,0,2,-6,1,20,1,-6,-6,-6,-6,-6,-6,7,7,7,7,4,7,7,2,7,7,7,7,1,0
"4051","4051","40510",1,4,-6,2,1,22,37,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,3,7,2,-6,1,27,2,2,30,-6,-6,1,400,4,7,7,7,6,7,5,2,7,5,7,7,4,6
"4052","4052","40520",1,1,-6,1,-6,37,35,-6,1,1,7,7,7,7,7,7,7,7,7,7,2,4,2,-6,1,16,1,-6,-6,-6,-6,-6,-6,4,6,6,7,0,7,1,2,7,4,4,3,2,3
"4053","4053","40530",1,3,-6,2,2,34,38,-6,-6,-6,7,7,7,7,3,7,7,7,5,7,2,0,2,-6,2,-6,2,2,20,-6,-6,1,-2,-2,2,2,2,0,2,2,2,2,0,2,2,1,0
"4054","4054","40540",1,1,-6,1,-6,33,33,-6,1,1,2,7,2,1,2,7,7,2,5,3,2,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,3,0,1,4,2,7,0,2,6,3,4,2,2,7
"4055","4055","40550",1,2,7,1,-6,21,36,1,1,2,7,7,7,7,7,7,7,7,7,7,1,0,2,-6,1,40,1,-6,-6,-6,-6,-6,-6,7,7,7,7,2,7,7,2,7,7,7,7,1,0
"4056","4056","40560",0,5,-6,-6,-6,26,40,-6,-6,-6,3,3,4,3,0,7,7,2,0,4,1,0,2,-6,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4057","4057","40570",1,3,-6,2,2,21,34,-6,-6,-6,4,5,4,1,4,5,5,4,5,4,5,1,1,2,1,30,2,2,8,-6,-6,1,60,0,2,2,5,1,3,2,1,5,1,0,5,2,1
"4058","4058","40580",0,4,-6,2,4,30,35,-6,-6,-6,7,7,1,0,2,7,7,2,7,7,1,0,1,3,1,40,2,2,0,11,2002,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4059","4059","40590",1,2,7,1,-6,24,37,2,1,2,3,7,2,0,4,7,7,7,1,3,3,0,1,4,1,40,1,-6,-6,-6,-6,-6,-6,1,2,7,5,2,7,2,1,7,0,0,3,3,0
"4060","4060","40600",1,4,-6,2,2,22,38,-6,-6,-6,3,7,2,7,4,7,7,3,7,7,1,7,1,2,1,8,2,2,20,-6,-6,1,3,2,2,3,3,2,3,3,1,3,3,3,3,1,3
"4061","4061","40610",1,4,-6,2,3,31,35,-6,-6,-6,7,7,7,3,7,7,7,7,7,7,3,7,2,-6,2,-6,2,2,2,-6,-6,2,-6,1,0,0,2,1,2,0,2,2,2,0,2,0,0
"4062","4062","40620",1,4,-6,2,2,31,35,-6,-6,-6,7,7,7,5,7,7,7,7,7,7,5,0,1,3,1,25,2,2,10,-6,-6,2,-6,0,1,-2,1,0,3,0,1,0,0,0,0,1,0
"4063","4063","40630",1,5,-6,2,5,25,36,-6,-6,-6,7,7,7,3,7,7,0,7,7,7,1,0,2,-6,2,-6,2,2,0,6,2001,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4064","4064","40640",1,2,7,1,-6,27,34,1,1,2,5,7,7,7,7,7,7,7,6,7,1,7,2,-6,1,30,1,-6,-6,-6,-6,-6,-6,3,3,3,7,1,7,7,2,7,7,4,7,1,7
"4065","4065","40650",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4066","4066","40660",1,4,-6,2,2,20,33,-6,-6,-6,7,7,3,7,3,7,7,3,7,7,4,7,1,4,1,40,2,2,12,-6,-6,1,60,2,2,2,2,2,2,2,1,3,2,2,2,2,1
"4067","4067","40670",1,3,-6,2,3,22,35,-6,-6,-6,6,7,5,7,7,7,7,4,5,7,3,0,1,4,1,38,2,2,6,-6,-6,1,30,-2,-2,-2,-2,2,-2,1,-2,-2,-2,-2,-2,-2,-2
"4068","4068","40680",0,5,-6,2,6,25,35,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,4,0,1,4,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4069","4069","40690",0,4,-6,2,2,23,37,-6,-6,-6,2,7,7,4,7,7,4,7,7,7,2,0,2,-6,2,-6,2,2,4,-6,-6,1,6,-2,3,3,0,3,3,3,2,3,3,3,2,3,0
"4070","4070","40700",1,1,-6,1,-6,24,42,-6,1,1,0,7,3,2,1,7,7,0,3,7,3,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,0,0,0,7,2,7,7,2,7,3,0,3,3,0
"4071","4071","40710",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4072","4072","40720",1,5,-6,2,3,22,36,-6,-6,-6,7,7,7,7,4,7,7,0,4,7,1,0,1,1,2,-6,2,2,3,-6,-6,2,-6,0,0,0,0,0,0,0,2,7,0,0,0,0,0
"4073","4073","40730",0,4,-6,2,3,21,37,-6,-6,-6,7,7,5,5,7,7,7,3,4,7,1,0,2,-6,2,-6,2,2,3,-6,-6,1,240,0,1,0,6,1,2,0,2,7,0,0,2,1,0
"4074","4074","40740",1,1,-6,1,-6,23,34,-6,1,1,7,7,7,5,1,7,7,7,7,7,1,1,2,-6,1,45,1,-6,-6,-6,-6,-6,-6,5,1,3,7,1,7,1,1,7,7,7,7,1,1
"4075","4075","40750",1,2,7,1,-6,28,40,1,1,2,7,7,7,3,7,7,7,3,7,7,1,7,2,-6,1,45,1,-6,-6,-6,-6,-6,-6,4,4,2,5,1,7,7,2,7,1,2,7,1,7
"4076","4076","40760",1,4,-6,2,5,20,37,-6,-6,-6,3,7,7,7,7,7,7,7,-2,7,2,0,2,-6,1,-2,2,2,1,-6,-6,1,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4077","4077","40770",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4078","4078","40780",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4079","4079","40790",1,5,-6,2,6,35,36,-6,-6,-6,7,7,7,3,3,7,7,3,7,7,0,0,2,-6,2,-6,2,2,0,4,2000,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4080","4080","40800",0,1,0,2,4,26,38,-6,4,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,1,-6,-6,1,48,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4081","4081","40810",1,5,-6,2,6,23,36,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"4082","4082","40820",1,2,7,1,-6,25,40,1,1,2,7,7,7,4,7,7,7,7,7,7,1,7,2,-6,1,35,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,7,7,2,7,7,7,7,1,7
