"","idnum","mothid3","cm3fint","m3a4","m3a4b","m3a8c","m3a9","cm3age","cm3b_age","m3a4a","m3a4a1","m3a4a2","m3b4a","m3b4c","m3b4d","m3b4e","m3b4f","m3b4b","m3b4m","m3b4g","m3b4h","m3b4i","m3b4k","m3b4l","m3b5","m3b5a","m3b7","m3b7a","m3c1","m3c1a","m3c2a","m3c2b1","m3c2b2","m3c2c","m3c2d","m3c3a","m3c3f","m3c3g","m3c3h","m3c3j","m3c3b","m3c3m","m3c4","m3c3c","m3c3d","m3c3e","m3c3i","m3c3k","m3c3l"
"1010","1010","10100",1,5,-6,2,5,25,37,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,3,1,1,4,2,-6,2,2,0,6,2002,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1011","1011","10110",1,4,-6,2,2,22,41,-6,-6,-6,2,7,4,4,5,7,7,0,4,4,6,0,1,4,1,35,2,2,0,5,2003,1,20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1012","1012","10120",0,4,-6,2,2,22,34,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,40,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1013","1013","10130",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1014","1014","10140",0,5,-6,2,4,22,35,-6,-6,-6,7,7,1,6,7,7,7,0,7,7,1,7,1,4,1,40,2,2,5,-6,-6,1,7,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0
"1015","1015","10150",1,1,-6,1,-6,31,38,-6,1,1,1,3,1,3,1,7,3,7,3,7,2,7,1,2,1,30,1,-6,-6,-6,-6,-6,-6,7,4,4,4,3,7,5,1,5,2,7,7,2,2
"1016","1016","10160",1,1,-6,1,-6,25,33,-6,1,1,3,5,7,3,3,5,7,0,4,7,1,2,1,4,1,35,1,-6,-6,-6,-6,-6,-6,2,0,0,4,0,7,3,2,5,5,2,7,2,4
"1017","1017","10170",1,2,4,2,1,24,36,1,2,2,5,7,4,6,7,7,7,7,6,7,3,2,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,-2,3,3,4,7,5,7,2,7,5,5,5,3,0
"1018","1018","10180",1,1,-6,1,-6,22,36,-6,1,1,5,7,5,5,5,6,5,5,7,5,3,0,1,3,2,-6,1,-6,-6,-6,-6,-6,-6,3,3,3,5,7,7,3,1,7,5,5,5,3,0
"1019","1019","10190",1,3,-6,2,5,33,39,-6,-6,-6,4,7,7,6,6,7,7,6,5,7,2,7,1,4,2,-6,2,2,0,6,2002,1,14,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
