"","idnum","mothid2","cm2fint","m2a4","m2a4d","m2a10","m2a11","cm2age","cm2b_age","m2b15","m2b18a","m2b18b","m2b18c","m2b18d","m2b18e","m2b18f","m2b18g","m2b18h","m2b19","m2b19a","mx2b20b","m2b21","m2b21a","m2c1","m2c1a","m2c2a","m2c2b1","m2c2b2","m2c2e","m2c2f","m2c3a","m2c3b","m2c3c","m2c3d","m2c3e","m2c3f","m2c3g","m2c3h","m2c3i","m2c3j","mx2c2c","m2c4"
"4658","4658","46580",1,-6,-6,1,-6,33,14,0,7,3,4,2,3,1,7,6,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,4,4,2,5,2,7,7,7,7,5,-5,2
"4659","4659","46590",1,-6,-6,1,-6,28,12,0,7,3,1,0,2,3,7,7,1,2,-5,1,12,1,-6,-6,-6,-6,-6,-6,1,0,0,0,2,0,7,7,7,7,-5,1
"4660","4660","46600",1,-6,-6,1,-6,34,17,0,7,7,7,7,7,0,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,6,1,4,0,6,0,7,7,7,0,-5,2
"4661","4661","46610",1,-6,-6,2,1,20,13,0,204,203,201,-5,-5,-5,-5,-5,2,-6,3,2,-6,2,2,30,-6,-6,-5,-5,-5,-5,204,-5,201,-5,-5,201,-5,-5,1,2
"4662","4662","46620",1,-6,-6,2,2,17,12,0,7,7,4,3,7,3,7,7,2,-6,-5,2,-6,2,2,20,-6,-6,1,40,2,1,1,2,3,1,1,3,3,1,-5,2
"4663","4663","46630",1,-6,-6,1,-6,24,13,0,7,5,0,0,7,5,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,7,5,2,1,5,2,3,7,7,4,-5,2
"4664","4664","46640",1,-6,-6,2,1,26,11,0,7,4,4,6,7,3,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,6,6,2,6,7,1,7,7,7,7,-5,2
"4665","4665","46650",1,-6,-6,1,-6,34,13,0,202,201,203,-5,-5,-5,-5,-5,2,-6,4,1,-5,1,-6,-6,-6,-6,-6,-6,-5,-5,204,-5,201,-5,-5,201,-5,-5,2,2
"4666","4666","46660",0,-6,-6,2,0,21,13,0,-2,-1,-1,-1,-1,-1,-1,-1,1,4,-5,1,-1,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"4667","4667","46670",0,-6,-6,2,4,24,23,2,7,7,5,7,6,3,7,7,1,2,-5,1,30,2,2,0,-2,2000,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"4668","4668","46680",0,-6,-6,2,0,24,18,0,0,7,0,0,7,2,7,7,2,-6,-5,2,-6,2,2,0,6,2001,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"4669","4669","46690",1,-6,-6,1,-6,38,16,0,7,7,7,7,7,0,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,0,7,7,7,7,-5,2
"4670","4670","46700",0,-6,-6,1,-6,29,17,0,201,201,201,201,201,201,201,201,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,201,201,201,201,201,201,201,201,201,202,-5,2
"4671","4671","46710",1,-6,-6,2,5,22,16,0,201,201,201,202,201,202,201,201,2,-6,-5,2,-6,2,2,2,-6,-6,2,-6,2,2,2,2,2,2,2,2,2,2,-5,2
"4672","4672","46720",0,-6,-6,1,-6,25,14,0,201,201,201,-5,-5,-5,-5,-5,1,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,-5,-5,201,-5,201,-5,-5,201,-5,-5,1,2
"4673","4673","46730",1,-6,-6,1,-6,31,17,0,7,7,7,0,7,2,7,7,2,-6,-5,1,12,1,-6,-6,-6,-6,-6,-6,7,7,7,0,7,2,7,7,7,3,-5,2
"4674","4674","46740",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4675","4675","46750",1,-6,-6,1,-6,25,12,0,7,6,2,0,1,1,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,7,3,0,0,7,1,7,7,7,7,-5,2
"4676","4676","46760",1,-6,-6,2,3,21,11,0,7,7,4,4,7,4,7,7,2,-6,-5,1,40,2,2,3,-6,-6,2,-6,1,1,1,1,1,0,0,1,1,0,-5,2
"4677","4677","46770",1,-6,-6,1,-6,33,13,0,201,201,201,-5,-5,-5,-5,-5,2,-6,4,2,-6,1,-6,-6,-6,-6,-6,-6,-5,-5,203,-5,201,-5,-5,201,-5,-5,1,2
"4678","4678","46780",1,-6,-6,2,1,38,21,0,7,7,7,3,7,1,7,7,2,-6,-5,1,45,2,2,28,-6,-6,1,570,3,0,3,0,4,1,7,5,7,5,-5,2
"4679","4679","46790",1,-6,-6,2,1,20,19,0,7,7,2,0,7,7,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,4,0,3,4,2,4,4,4,2,-5,2
"4680","4680","46800",1,-6,-6,1,-6,28,12,0,6,6,5,3,4,3,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,6,6,5,5,5,3,7,7,7,5,-5,2
"4681","4681","46810",1,-6,-6,2,1,26,12,0,7,7,7,7,2,7,7,7,2,-6,-5,2,-6,2,2,30,-6,-6,1,365,1,1,1,1,0,3,0,3,7,0,-5,2
"4682","4682","46820",1,-6,-6,2,1,25,16,4,203,203,203,202,202,203,201,201,1,3,-5,2,-6,2,2,4,-6,-6,1,4,202,202,202,202,202,202,202,202,202,202,-5,2
"4683","4683","46830",0,-6,-6,1,-6,28,12,0,3,7,0,0,7,1,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,0,0,0,1,1,0,3,7,3,-5,2
"4684","4684","46840",1,-6,-6,1,-6,30,13,0,7,7,7,7,7,4,7,7,2,-6,-5,1,12,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,1,7,5,7,1,-5,2
"4685","4685","46850",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4686","4686","46860",1,-6,-6,2,1,35,14,0,201,201,204,-5,-5,-5,-5,-5,2,-6,4,1,-5,2,2,10,-6,-6,-5,-5,-5,-5,204,-5,202,-5,-5,202,-5,-5,2,2
"4687","4687","46870",1,-6,-6,1,-6,27,15,0,7,3,3,3,2,7,7,7,2,-6,-5,1,10,1,-6,-6,-6,-6,-6,-6,3,3,3,3,3,7,7,7,7,7,-5,2
"4688","4688","46880",0,-6,-6,1,-6,31,20,0,7,7,7,7,7,3,7,7,2,-6,-5,1,30,1,-6,-6,-6,-6,-6,-6,7,7,4,4,6,1,3,3,7,7,-5,2
"4689","4689","46890",1,-6,-6,1,-6,38,11,0,7,7,3,5,7,0,7,7,2,-6,-5,1,45,1,-6,-6,-6,-6,-6,-6,7,5,1,1,7,0,7,5,7,2,-5,2
"4690","4690","46900",0,-6,-6,1,-6,35,9,0,7,7,4,0,7,7,7,7,2,-6,-5,1,24,1,-6,-6,-6,-6,-6,-6,7,0,0,0,5,0,3,6,7,7,-5,2
"4691","4691","46910",1,-6,-6,1,-6,30,17,0,7,7,2,2,0,7,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,5,0,0,0,7,2,7,7,7,4,-5,2
"4692","4692","46920",1,-6,-6,1,-6,18,17,0,201,201,201,201,201,203,201,201,2,-6,-5,1,1,1,-6,-6,-6,-6,-6,-6,201,202,202,202,202,204,202,202,202,202,-5,2
