"","idnum","mothid1","cm1fint","m1a4","m1a11a","m1a11b","m1a11c","m1a11d","cm1age","cm1bsex","m1b2","m1b3","m1b11a","m1b22a","m1b11b","m1b22b","m1b11c","m1b22c","m1b11d","m1b22d","m1b13b","m1b25b","m1b13c","m1b25c","m1b16","m1b17","m1g2","m1g3","m1g4","fathid1","f1b5a","f1b11a","f1b22a","f1b5b","f1b11b","f1b22b","f1b5c","f1b11c","f1b22c","f1b5d","f1b11d","f1b22d","f1b13b","f1b13c","f1b16","f1b17","f1g3","f1g4","f1g2"
"2233","2233","22330",1,1,-6,-6,-6,-6,27,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,2,-6,-6,5,5,3,"22331",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,2,4
"2234","2234","22340",0,2,2,2,1,2,23,1,2,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6,-5,2,2,4,5,3,"22341",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2235","2235","22350",1,2,1,2,2,2,24,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22351",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,2,3,4
"2236","2236","22360",0,2,1,2,2,2,25,1,2,1,1,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22361",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2237","2237","22370",1,2,2,1,2,2,31,1,2,2,2,-6,2,-6,1,-6,1,-6,3,-5,2,-5,1,1,2,2,3,"22371",-6,2,-6,-6,2,-6,-6,2,-6,-6,2,-6,3,3,1,1,5,4,5
"2238","2238","22380",1,2,1,2,1,2,19,2,2,2,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22381",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"2239","2239","22390",1,1,-6,-6,-6,-6,28,1,1,-6,-6,-3,-6,-3,-6,-3,-6,-3,-6,-5,-6,-5,-6,-6,5,5,4,"22391",-6,-6,-3,-6,-6,-3,-6,-6,-3,-6,-6,-3,-6,-6,-6,-6,5,4,4
"2240","2240","22400",1,2,1,2,2,2,22,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22401",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,3
"2241","2241","22410",1,1,-6,-6,-6,-6,26,1,1,-6,-6,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"22411",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,3,2
"2242","2242","22420",1,2,1,2,2,2,32,1,2,1,1,-6,1,-6,1,-6,1,-6,1,-6,1,-6,1,1,5,5,3,"22421",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,2,1,5,4,2
"2243","2243","22430",1,2,1,2,1,2,36,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,3,3,"22431",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,3,1
"2244","2244","22440",1,2,1,2,1,2,20,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22441",-6,2,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,2
"2245","2245","22450",1,2,1,1,2,2,23,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22451",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,2
"2246","2246","22460",1,2,1,1,2,2,28,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,2,2,5,5,4,"22461",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"2247","2247","22470",0,2,1,2,2,1,37,2,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,5,5,3,"22471",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2248","2248","22480",1,1,-6,-6,-6,-6,25,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"22481",-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,4
"2249","2249","22490",1,2,1,1,2,2,28,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-5,1,-5,1,1,5,5,4,"22491",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,3
